country,region,region_code,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,zscore_total_deaths,normalized_total_deaths,month,mortality_rate_per_capita,excess_mortality_rate_per_capita
Australia,Australia,0,2019-12-30,2020-01-05,7,2020,1,25921089,-0.26709104944823336,0,-0.17756972253994568,-0.3918377295259189,-0.20954095904965608,0.0,-0.151895212651155,-0.0132775521579653,-0.2637212899475894,-0.26709104944823336,12,11.288105989682764,-0.15189521265115521
Australia,Australia,0,2020-01-06,2020-01-12,7,2020,2,25921089,-0.2716809534255849,0,-0.1795735432188901,-0.40151962629137283,-0.21467710799676215,0.0,-0.210406128866836,-0.0184470929001921,-0.26600485940061375,-0.2716809534255849,1,11.195517287101634,-0.2104061288668362
Australia,Australia,0,2020-01-13,2020-01-19,7,2020,3,25921089,-0.26938600143690916,0,-0.18513131000785754,-0.3782192373727979,-0.21210903352320912,0.0,-0.0695941436913677,-0.0061525636187157,-0.2648630746741016,-0.26938600143690916,1,11.241811638392198,-0.06959414369136768
Australia,Australia,0,2020-01-20,2020-01-26,7,2020,4,25921089,-0.251600123524672,0,-0.1832409131408626,-0.3241708466392998,-0.19220645635317316,0.0,0.25703822374762,0.0226594072113784,-0.2560142430436323,-0.251600123524672,1,11.600592860894077,0.25703822374761953
Australia,Australia,0,2020-01-27,2020-02-02,7,2020,5,25921089,-0.27015098543313437,0,-0.19239043397712113,-0.36034496642156233,-0.2129650583477268,0.0,0.0384260093199505,0.003434587656186,-0.26524366958293893,-0.27015098543313437,1,11.22638018796201,0.03842600931995053
Australia,Australia,0,2020-02-03,2020-02-09,7,2020,6,25921089,-0.2688122634397402,0,-0.18520692588253884,-0.3760913479738409,-0.21146701490482087,0.0,-0.0567346016662085,-0.0050162688397286,-0.2645776284924735,-0.2688122634397402,2,11.25338522621484,-0.05673460166620854
Australia,Australia,0,2020-02-10,2020-02-16,7,2020,7,25921089,-0.24720146554637673,0,-0.18414830363702056,-0.3069349425077512,-0.18728431361219652,0.0,0.361200514151391,0.0318852918703205,-0.2538258223178173,-0.24720146554637673,2,11.68932370086766,0.36120051415139076
Australia,Australia,0,2020-02-17,2020-02-23,7,2020,8,25921089,-0.24165533157374364,0,-0.17220099543760678,-0.3220429572403433,-0.18107813363444336,0.0,0.269897765772776,0.0234056587985489,-0.25106650922874624,-0.24165533157374364,2,11.801201716486526,0.2698977657727756
Australia,Australia,0,2020-02-24,2020-03-01,7,2020,9,25921089,-0.2357267056029979,1,-0.18045645413763858,-0.27902208434216075,-0.1746579474505608,0.003857862607547,0.529887182170255,0.0465184311356637,-0.24811689868525647,-0.2357267056029979,2,11.920795457320486,0.5298871821702552
Australia,Australia,0,2020-03-02,2020-03-08,7,2020,10,25921089,-0.25370382951429143,2,-0.17147328822567492,-0.36430789145234155,-0.1949885370328556,0.0077157252150941,0.0144767378019668,0.001254083469087,-0.2570608790429351,-0.25370382951429143,3,11.558156372211059,0.014476737801966809
Australia,Australia,0,2020-03-09,2020-03-15,7,2020,11,25921089,-0.2575287494954177,0,-0.18603690568901005,-0.33609207802217694,-0.19884064874318513,0.0,0.184994265055547,0.0163769640178202,-0.25896385358712204,-0.2575287494954177,3,11.480999120060117,0.18499426505554725
Australia,Australia,0,2020-03-16,2020-03-22,7,2020,12,25921089,-0.23477047560771636,4,-0.17877778171974645,-0.2805541647094095,-0.17422993503830195,0.0154314504301883,0.520628311912142,0.0455913391155371,-0.24764115504920972,-0.23477047560771636,3,11.94008477035822,0.5206283119121423
Australia,Australia,0,2020-03-23,2020-03-29,7,2020,13,25921089,-0.2255906676530133,9,-0.1743769378133804,-0.2622968736663618,-0.16502766817473694,0.0347207634679237,0.630963182487989,0.0548935766218057,-0.24307401614316104,-0.2255906676530133,3,12.12526217552048,0.6309631824879888
Australia,Australia,0,2020-03-30,2020-04-05,7,2020,14,25921089,-0.21143846372284608,19,-0.17033905010547748,-0.22642065839995326,-0.1513312709824541,0.0732993895433946,0.847775061032135,0.0733181127515967,-0.23603301032966936,-0.21143846372284608,3,12.410744008478964,0.8477750610321348
Australia,Australia,0,2020-04-06,2020-04-12,7,2020,15,25921089,-0.22616440565018223,25,-0.16004016797408474,-0.30455675712964014,-0.1690937860911959,0.0964465651886771,0.375572677868372,0.031995993288314,-0.24335946232478908,-0.22616440565018223,4,12.11368858769784,0.3755726778683716
Australia,Australia,0,2020-04-13,2020-04-19,7,2020,16,25921089,-0.2368741815973358,7,-0.15931425557715842,-0.3423480728551095,-0.17722602192411382,0.0270050382528296,0.147187211501585,0.0125260796680717,-0.24868779104851255,-0.2368741815973358,4,11.897648281675202,0.14718721150158506
Australia,Australia,0,2020-04-20,2020-04-26,7,2020,17,25921089,-0.24452402155958836,16,-0.16117440609428219,-0.3626481377211554,-0.18771232602445537,0.0617258017207533,0.0245071805815889,0.0020912657405718,-0.2524937401368864,-0.24452402155958836,4,11.74333377737332,0.024507180581588874
Australia,Australia,0,2020-04-27,2020-05-03,7,2020,18,25921089,-0.24681897354826413,12,-0.15364306497617125,-0.3915023179710079,-0.1894243756734907,0.046294351290565,-0.149868209279544,-0.0126504075065301,-0.2536355248633986,-0.24681897354826413,4,11.697039426082755,-0.14986820927954375
Australia,Australia,0,2020-05-04,2020-05-10,7,2020,19,25921089,-0.22214823966999964,2,-0.12592228531854593,-0.38716142359713596,-0.15967751302150146,0.0077157252150941,-0.123634743548221,-0.0100366412312966,-0.2413613390533928,-0.22214823966999964,5,12.194703702456328,-0.12363474354822131
Australia,Australia,0,2020-05-11,2020-05-17,7,2020,20,25921089,-0.2242519456596191,2,-0.12614913294258542,-0.3935450917940061,-0.1620315812889251,0.0077157252150941,-0.162213369623694,-0.013172570984635,-0.24240797505269562,-0.2242519456596191,5,12.15226721377331,-0.16221336962369368
Australia,Australia,0,2020-05-18,2020-05-24,7,2020,21,25921089,-0.21201220172001503,3,-0.1092263001892396,-0.4003117800826875,-0.14854919030277167,0.0115735878226412,-0.203106713263689,-0.0161166677343596,-0.2363184565112974,-0.21201220172001503,5,12.399170420656324,-0.2031067132636889
Australia,Australia,0,2020-05-25,2020-05-31,7,2020,22,25921089,-0.2188970576860423,1,-0.10541526010537627,-0.4340175481621598,-0.15582540131117192,0.003857862607547,-0.406801858942173,-0.0321148648827686,-0.2397438106908339,-0.2188970576860423,5,12.26028736678463,-0.4068018589421725
Australia,Australia,0,2020-06-01,2020-06-07,7,2020,23,25921089,-0.23132804762470272,0,-0.08944518737299863,-0.5204524155477774,-0.16952179850345475,0.0,-0.929156456004047,-0.0718122913839265,-0.24592847795944148,-0.23132804762470272,6,12.009526297294068,-0.9291564560040474
Australia,Australia,0,2020-06-08,2020-06-14,7,2020,24,25921089,-0.228459357638858,0,-0.10115052477343388,-0.47793718535662433,-0.16631170541151347,0.0,-0.672222806341412,-0.0527663275972692,-0.24450124705130125,-0.228459357638858,6,12.067394236407274,-0.6722228063414118
Australia,Australia,0,2020-06-15,2020-06-21,7,2020,25,25921089,-0.24069910157846208,0,-0.09461731320109898,-0.5371776262235758,-0.18000810260379627,0.0,-1.03023245632178,-0.0801692182900421,-0.2505907655926995,-0.24069910157846208,6,11.820491029524261,-1.0302324563217773
